HSANumber,HSACity,HSAState
25046,Lucedale,MS
25048,Macon,MS
25050,Magee,MS
25051,Magnolia,MS
25052,Marks,MS
25053,McComb,MS
25054,Meadville,MS
25055,Mendenhall,MS
25056,Meridian,MS
25057,Monticello,MS
25059,Natchez,MS
25060,New Albany,MS
25063,Oxford,MS
25064,Pascagoula,MS
25066,Picayune,MS
25070,Port Gibson,MS
25071,Prentiss,MS
25072,Quitman,MS
25075,Ripley,MS
25076,Rolling Fork,MS
25077,Ruleville,MS
25082,Starkville,MS
25084,Tupelo,MS
25085,Tylertown,MS
25087,Vicksburg,MS
25089,Waynesboro,MS
25090,West Point,MS
25093,Winona,MS
25094,Yazoo City,MS
26001,Albany,MO
26002,Appleton City,MO
26003,Aurora,MO
26004,Bethany,MO
26005,Blue Springs,MO
26006,Bolivar,MO
26009,Branson,MO
26010,Brookfield,MO
26011,Butler,MO
26012,Cameron,MO
26013,Cape Girardeau,MO
26014,Carrollton,MO
26015,Carthage,MO
26019,Chillicothe,MO
26020,Clinton,MO
26021,Columbia,MO
26022,Crystal City,MO
26023,Dexter,MO
26025,El Dorado Springs,MO
26026,Ellington,MO
26027,Excelsior Springs,MO
26028,Fairfax,MO
26029,Farmington,MO
26031,Fredericktown,MO
26033,Hannibal,MO
26034,Harrisonville,MO
26035,Hayti,MO
26036,Hermann,MO
26037,Houston,MO
26038,Independence,MO
26039,Jefferson City,MO
26040,Joplin,MO
26041,Kansas City,MO
26042,Kennett,MO
26043,Kirksville,MO
26045,Lake Saint Louis,MO
26046,Lamar,MO
26048,Lees Summit,MO
26049,Lexington,MO
26050,Liberty,MO
26052,Louisiana,MO
26053,Macon,MO
26056,Marshall,MO
26057,Maryville,MO
26058,Memphis,MO
26059,Mexico,MO
26060,Milan,MO
26064,Neosho,MO
26065,Nevada,MO
26066,North Kansas City,MO
26067,Osage Beach,MO
26068,Osceola,MO
26069,Perryville,MO
26070,Pilot Knob,MO
26071,Poplar Bluff,MO
26072,Potosi,MO
26073,Richmond,MO
26074,Rolla,MO
26075,Salem,MO
26076,Sedalia,MO
26077,Sikeston,MO
26078,Smithville,MO
26079,Springfield,MO
26080,St. Charles,MO
26081,St. Joseph,MO
26082,St. Louis,MO
26084,Ste. Genevieve,MO
26088,Trenton,MO
26089,Troy,MO
26090,Unionville,MO
26091,Warrensburg,MO
26093,West Plains,MO
27001,Anaconda,MT
27002,Baker,MT
27005,Billings,MT
27006,Bozeman,MT
27007,Butte,MT
27008,Chester,MT
27012,Conrad,MT
27014,Cut Bank/Browning,MT
27015,Deer Lodge,MT
27016,Dillon,MT
27017,Ennis,MT
27020,Glasgow,MT
27021,Glendive,MT
27022,Great Falls,MT
27023,Hamilton,MT
27024,Hardin,MT
27026,Havre,MT
27027,Helena,MT
27028,Kalispell,MT
27029,Lewistown,MT
27030,Libby,MT
27031,Livingston,MT
27032,Malta,MT
27033,Miles City,MT
27034,Missoula,MT
27036,Plains,MT
27037,Plentywood,MT
27038,Polson,MT
27039,Poplar,MT
27040,Red Lodge,MT
27041,Ronan,MT
27043,Scobey,MT
27044,Shelby,MT
27045,Sheridan,MT
27046,Sidney,MT
27047,Superior,MT
27049,Townsend,MT
27051,White Sulphur Springs,MT
27052,Whitefish,MT
27053,Wolf Point,MT
27054,Browning,MT
28001,Ainsworth,NE
28002,Albion,NE
28003,Alliance,NE
28004,Alma,NE
28005,Atkinson,NE
28006,Auburn,NE
28007,Aurora,NE
28008,Bassett,NE
28009,Beatrice,NE
28010,Benkelman,NE
28011,Blair,NE
28013,Broken Bow,NE
28014,Callaway,NE
28015,Cambridge,NE
28016,Central City,NE
28017,Chadron,NE
28018,Columbus,NE
28019,Cozad,NE
28020,Crawford,NE
28021,Creighton,NE
28022,Crete,NE
28023,David City,NE
28024,Fairbury,NE
28025,Falls City,NE
28026,Franklin,NE
28027,Fremont,NE
28030,Geneva,NE
28031,Genoa,NE
28032,Gordon,NE
28033,Gothenburg,NE
28034,Grand Island,NE
28035,Grant,NE
28036,Hastings,NE
28037,Hebron,NE
28038,Henderson,NE
28039,Holdrege,NE
28040,Humboldt,NE
28041,Imperial,NE
28042,Kearney,NE
28043,Kimball,NE
28044,Lexington,NE
28045,Lincoln,NE
28046,Lynch,NE
28047,McCook,NE
28048,Minden,NE
28049,Nebraska City,NE
28050,Neligh,NE
28051,Norfolk,NE
28052,North Platte,NE
28053,O'Neill,NE
28054,Oakland,NE
28055,Ogallala,NE
28056,Omaha,NE
28057,Ord,NE
28058,Osceola,NE
28059,Oshkosh,NE
28060,Osmond,NE
28062,Pawnee City,NE
28063,Pender,NE
28064,Plainview,NE
28065,Red Cloud,NE
28066,Sargent,NE
28067,Schuyler,NE
28068,Scottsbluff,NE
28069,Seward,NE
28070,Sidney,NE
28071,St. Paul,NE
28072,Superior,NE
28073,Syracuse,NE
28074,Tecumseh,NE
28076,Valentine,NE
28077,Wahoo,NE
28078,Wayne,NE
28079,West Point,NE
28080,York,NE
29001,Battle Mountain,NV
29002,Boulder City,NV
29003,Carson City,NV
29004,Elko,NV
29005,Ely,NV
29006,Fallon,NV
29007,Hawthorne,NV
29008,Henderson,NV
29010,Las Vegas,NV
29013,Reno,NV
29015,Tonopah,NV
29016,Winnemucca,NV
29018,Owyhee,NV
30001,Berlin,NH
30002,Claremont,NH
30003,Colebrook,NH
30004,Concord,NH
30005,Derry,NH
30006,Dover,NH
30007,Exeter,NH
30008,Franklin,NH
30010,Keene,NH
30011,Laconia,NH
30012,Lancaster,NH
30013,Lebanon,NH
30014,Littleton,NH
30015,Manchester,NH
30016,Nashua,NH
30017,New London,NH
30019,North Conway,NH
30020,Peterborough,NH
30021,Plymouth,NH
30022,Portsmouth,NH
30023,Rochester,NH
30024,Wolfeboro,NH
30025,Woodsville,NH
31001,Atlantic City,NJ
31002,Bayonne,NJ
31003,Belleville,NJ
31004,Bridgeton,NJ
31005,Camden,NJ
31006,Cape May Court House,NJ
31007,Denville,NJ
31008,Dover,NJ
31010,Edison,NJ
31011,Elizabeth,NJ
31012,Elmer,NJ
31013,Englewood,NJ
31014,Flemington,NJ
31015,Freehold,NJ
31016,Hackensack,NJ
31017,Hackettstown,NJ
31019,Hammonton,NJ
31020,Hoboken,NJ
31021,Holmdel,NJ
31022,Irvington,NJ
31023,Jersey City,NJ
31024,Kearny,NJ
31025,Lakewood,NJ
31026,Livingston,NJ
31027,Long Branch,NJ
31028,Manahawkin,NJ
31030,Montclair,NJ
31031,Morristown,NJ
31032,Mount Holly,NJ
31033,Neptune,NJ
31034,New Brunswick,NJ
31035,Newark,NJ
31036,Newton,NJ
31037,North Bergen,NJ
31038,Orange,NJ
31039,Paramus,NJ
31040,Passaic,NJ
31041,Paterson,NJ
31042,Perth Amboy,NJ
31043,Phillipsburg,NJ
31044,Plainfield,NJ
31045,Point Pleasant,NJ
31046,Pompton Plains,NJ
31047,Princeton,NJ
31048,Rahway,NJ
31049,Red Bank,NJ
31050,Ridgewood,NJ
31051,Riverside,NJ
31053,Salem,NJ
31054,Secaucus,NJ
31055,Somers Point,NJ
31056,Somerville,NJ
31057,South Amboy,NJ
31058,Stratford,NJ
31059,Summit,NJ
31060,Sussex,NJ
31061,Teaneck,NJ
31062,Toms River,NJ
31063,Trenton,NJ
31064,Union,NJ
31065,Vineland,NJ
31066,Wayne,NJ
31067,Westwood,NJ
31068,Willingboro,NJ
31069,Woodbury,NJ
32001,Alamogordo,NM
32002,Albuquerque,NM
32003,Artesia,NM
32005,Carlsbad,NM
32006,Clayton,NM
32007,Clovis,NM
32008,Deming,NM
32009,Espanola,NM
32010,Farmington,NM
32011,Fort Sumner,NM
32012,Gallup/Crownpoint,NM
32013,Grants/San Fidel,NM
32014,Hobbs,NM
32015,Las Cruces,NM
32016,Las Vegas,NM
32017,Los Alamos,NM
32019,Portales,NM
32020,Raton,NM
32021,Roswell,NM
32022,Ruidoso,NM
32023,Santa Fe,NM
32024,Santa Rosa,NM
32025,Silver City,NM
32026,Socorro,NM
32027,Taos,NM
32028,Truth or Consequences,NM
32029,Tucumcari,NM
32031,Mescalero,NM
32033,Shiprock,NM
32034,Zuni,NM
33001,Albany,NY
33002,Alexandria Bay,NY
33003,Amityville,NY
33004,Amsterdam,NY
33005,Auburn,NY
33006,Batavia,NY
33007,Bath,NY
33008,Bay Shore,NY
33009,Bethpage,NY
33010,Binghamton,NY
33011,Brockport,NY
33012,Bronx,NY
33013,Bronxville,NY
33014,Brooklyn,NY
33015,Buffalo,NY
33016,Cambridge,NY
33017,Canandaigua,NY
33018,Carmel,NY
33019,Carthage,NY
33020,Catskill,NY
33022,Clifton Springs,NY
33023,Cobleskill,NY
33024,Cold Spring,NY
33025,Cooperstown,NY
33027,Corning,NY
33028,Cornwall,NY
33029,Cortland,NY
33030,Cuba,NY
33031,Dansville,NY
33032,Dobbs Ferry,NY
33033,Dunkirk,NY
33034,East Meadow,NY
33035,Elizabethtown,NY
33036,Ellenville,NY
33037,Elmira,NY
33038,Far Rockaway,NY
33039,Flushing,NY
33040,Fulton,NY
33041,Geneva,NY
33042,Glen Cove,NY
33043,Glens Falls,NY
33044,Gloversville,NY
33045,Goshen,NY
33046,Gouverneur,NY
33047,Gowanda,NY
33048,Greenport,NY
33049,Hamilton,NY
33050,Harris,NY
33052,Hornell,NY
33053,Huntington,NY
33055,Irving,NY
33056,Ithaca,NY
33057,Jamaica,NY
33058,Jamestown,NY
33059,Kenmore,NY
33060,Kingston,NY
33061,Lackawanna,NY
33063,Lewiston,NY
33064,Little Falls,NY
33065,Lockport,NY
33066,Long Beach,NY
33067,Long Island City,NY
33068,Lowville,NY
33069,Malone,NY
33070,Manhasset,NY
33071,Margaretville,NY
33072,Massena,NY
33073,Medina,NY
33074,Middletown,NY
33075,Mineola,NY
33076,Montour Falls,NY
33077,Mount Kisco,NY
33078,Mount Vernon,NY
33079,New Rochelle,NY
33080,Manhattan,NY
33081,Newark,NY
33082,Newburgh,NY
33083,Newfane,NY
33084,Niagara Falls,NY
33085,North Tarrytown,NY
33086,North Tonawanda,NY
33087,Norwich,NY
33088,Nyack,NY
33089,Oceanside,NY
33090,Ogdensburg,NY
33091,Olean,NY
33092,Oneida,NY
33093,Oneonta,NY
33094,Oswego,NY
33095,Patchogue,NY
33096,Peekskill,NY
33097,Penn Yan,NY
33098,Plainview,NY
33099,Plattsburgh,NY
33100,Port Chester,NY
33101,Port Jefferson,NY
33102,Port Jervis,NY
33103,Potsdam,NY
33104,Poughkeepsie,NY
33105,Rhinebeck,NY
33106,Riverhead,NY
33107,Rochester,NY
33108,Rockville Centre,NY
33109,Rome,NY
33111,Saranac Lake,NY
33112,Saratoga Springs,NY
33113,Schenectady,NY
33114,Seaford,NY
33115,Sidney,NY
33116,Smithtown,NY
33117,Sodus,NY
33118,Southampton,NY
33119,Springville,NY
33120,Star Lake,NY
33121,Staten Island,NY
33122,Stony Brook,NY
33123,Suffern,NY
33124,Syosset,NY
33125,Syracuse,NY
33126,Ticonderoga,NY
33127,Troy,NY
33128,Utica,NY
33130,Valley Stream,NY
33131,Walton,NY
33132,Warsaw,NY
33133,Warwick,NY
33135,Watertown,NY
33136,Wellsville,NY
33137,West Islip,NY
33138,Westfield,NY
33139,White Plains,NY
33140,Yonkers,NY
33142,Callicoon,NY
34001,Ahoskie,NC
34002,Albemarle,NC
34003,Andrews,NC
34004,Asheboro,NC
34005,Asheville,NC
34006,Banner Elk,NC
34007,Belhaven,NC
34008,Blowing Rock,NC
34010,Boone,NC
34011,Brevard,NC
34012,Bryson City,NC
34013,Burgaw,NC
34014,Burlington,NC
34015,Chapel Hill,NC
34016,Charlotte,NC
34017,Clinton,NC
34018,Clyde,NC
34019,Columbus,NC
34020,Concord,NC
34021,Crossnore,NC
34023,Dunn,NC
34024,Durham,NC
34025,Eden,NC
34026,Edenton,NC
34027,Elizabeth City,NC
34028,Elizabethtown,NC
34029,Elkin,NC
34030,Erwin,NC
34031,Fayetteville,NC
34033,Franklin,NC
34034,Gastonia,NC
34035,Goldsboro,NC
34036,Greensboro,NC
34037,Greenville,NC
34038,Hamlet,NC
34039,Henderson,NC
34040,Hendersonville,NC
34041,Hickory,NC
34042,High Point,NC
34043,Highlands,NC
34044,Jacksonville,NC
34045,Jefferson,NC
34046,Kenansville,NC
34047,Kings Mountain,NC
34048,Kinston,NC
34049,Laurinburg,NC
34050,Lenoir,NC
34051,Lexington,NC
34052,Lincolnton,NC
34053,Louisburg,NC
34054,Lumberton,NC
34055,Marion,NC
34056,Mocksville,NC
34057,Monroe,NC
34058,Mooresville,NC
34059,Morehead City,NC
34060,Morganton,NC
34061,Mount Airy,NC
34062,Murphy,NC
34063,New Bern,NC
34064,North Wilkesboro,NC
34065,Oxford,NC
34066,Pinehurst,NC
34067,Plymouth,NC
34068,Raleigh,NC
34069,Reidsville,NC
34070,Roanoke Rapids,NC
34071,Rockingham,NC
34072,Rocky Mount,NC
34073,Roxboro,NC
34074,Rutherfordton,NC
34075,Salisbury,NC
34076,Sanford,NC
34079,Shelby,NC
34080,Siler City,NC
34081,Smithfield,NC
34082,Southport,NC
34083,Sparta,NC
34084,Spruce Pine,NC
34085,Statesville,NC
34086,Supply,NC
34087,Sylva,NC
34088,Tarboro,NC
34089,Taylorsville,NC
34090,Thomasville,NC
34091,Troy,NC
34092,Valdese,NC
34093,Wadesboro,NC
34094,Washington,NC
34095,Whiteville,NC
34096,Williamston,NC
34097,Wilmington,NC
34098,Wilson,NC
34099,Windsor,NC
34100,Winston-Salem,NC
34102,Cherokee,NC
35001,Ashley,ND
35002,Bismarck,ND
35003,Bottineau,ND
35004,Bowman,ND
35005,Cando,ND
35006,Carrington,ND
35007,Cavalier,ND
35008,Cooperstown,ND
35009,Crosby,ND
35010,Devils Lake,ND
35011,Dickinson,ND
35012,Elgin,ND
35014,Fargo/Moorhead MN,ND
35017,Grand Forks,ND
35019,Harvey,ND
35020,Hazen,ND
35021,Hettinger,ND
35022,Hillsboro,ND
35023,Jamestown,ND
35025,Langdon,ND
35026,Linton,ND
35027,Lisbon,ND
35029,Mayville,ND
35030,McVille,ND
35031,Minot,ND
35034,Northwood,ND
35035,Oakes,ND
35036,Park River,ND
35038,Rolla,ND
35039,Rugby,ND
35040,Stanley,ND
35041,Tioga,ND
35042,Turtle Lake,ND
35043,Valley City,ND
35044,Watford City,ND
35045,Williston,ND
35046,Wishek,ND
36001,Akron,OH
36002,Alliance,OH
36004,Ashland,OH
36005,Ashtabula,OH
36006,Athens,OH
36007,Barberton,OH
36008,Barnesville,OH
36009,Batavia,OH
36010,Bedford,OH
36011,Bellaire,OH
36012,Bellefontaine,OH
36013,Bellevue,OH
36014,Bluffton,OH
36015,Bowling Green,OH
36016,Bryan,OH
36017,Bucyrus,OH
36018,Cadiz,OH
36019,Cambridge,OH
36020,Canton,OH
36021,Chardon,OH
36022,Chillicothe,OH
36023,Cincinnati,OH
36024,Circleville,OH
36025,Cleveland,OH
36026,Coldwater,OH
36027,Columbus,OH
36028,Conneaut,OH
36029,Coshocton,OH
36032,Dayton,OH
36033,Defiance,OH
36034,Delaware,OH
36035,Dennison,OH
36036,Dover,OH
36037,East Liverpool,OH
36038,Elyria,OH
36039,Euclid,OH
36040,Findlay,OH
36041,Fostoria,OH
36042,Fremont,OH
36043,Galion,OH
36044,Gallipolis,OH
36045,Garfield Heights,OH
36046,Geneva,OH
36047,Georgetown,OH
36048,Greenfield,OH
36049,Greenville,OH
36050,Hamilton,OH
36051,Hicksville,OH
36052,Hillsboro,OH
36053,Ironton,OH
36054,Kenton,OH
36055,Kettering,OH
36056,Lakewood,OH
36057,Lancaster,OH
36058,Lima,OH
36059,Lodi,OH
36060,Logan,OH
36061,London,OH
36062,Lorain,OH
36063,Loudonville,OH
36064,Mansfield,OH
36065,Marietta,OH
36066,Marion,OH
36067,Martins Ferry,OH
36068,Marysville,OH
36069,Massillon,OH
36070,Maumee,OH
36071,Mayfield Heights,OH
36072,Medina,OH
36074,Middletown,OH
36075,Millersburg,OH
36076,Mount Gilead,OH
36077,Mount Vernon,OH
36078,Napoleon,OH
36079,Nelsonville,OH
36080,Newark,OH
36081,Norwalk,OH
36083,Oberlin,OH
36084,Oregon,OH
36085,Orrville,OH
36086,Oxford,OH
36087,Painesville,OH
36088,Parma/Middleburg Heights,OH
36089,Paulding,OH
36090,Piqua,OH
36091,Pomeroy,OH
36092,Port Clinton,OH
36093,Portsmouth,OH
36094,Ravenna,OH
36095,Salem,OH
36096,Sandusky,OH
36097,Shelby,OH
36098,Sidney,OH
36099,Springfield,OH
36100,St. Marys,OH
36101,Steubenville,OH
36102,Sylvania,OH
36103,Tiffin,OH
36104,Toledo,OH
36105,Troy,OH
36106,Upper Sandusky,OH
36107,Urbana,OH
36108,Van Wert,OH
36109,Wadsworth,OH
36110,Warren,OH
36112,Washington Court House,OH
36113,Wauseon,OH
36114,Waverly,OH
36116,West Union,OH
36118,Westlake,OH
36119,Willard,OH
36120,Wilmington,OH
36121,Wooster,OH
36122,Xenia,OH
36123,Youngstown,OH
36124,Zanesville,OH
37001,Ada,OK
37002,Altus,OK
37003,Alva,OK
37004,Anadarko,OK
37005,Antlers,OK
37006,Ardmore,OK
37007,Atoka,OK
37008,Bartlesville,OK
37009,Beaver,OK
37011,Blackwell,OK
37015,Buffalo,OK
37016,Carnegie,OK
37018,Cheyenne,OK
37019,Chickasha,OK
37020,Claremore,OK
37022,Clinton,OK
37023,Coalgate,OK
37024,Cordell,OK
37025,Cushing,OK
37026,Drumright,OK
37027,Duncan,OK
37028,Durant,OK
37029,Edmond,OK
37030,El Reno,OK
37031,Elk City,OK
37032,Enid,OK
37033,Eufaula,OK
37034,Fairfax,OK
37035,Fairview,OK
37036,Frederick,OK
37037,Grove,OK
37038,Guthrie,OK
37039,Guymon,OK
37042,Hobart,OK
37043,Holdenville,OK
37044,Hollis,OK
37047,Idabel,OK
37048,Kingfisher,OK
37049,Lawton,OK
37050,Lindsay,OK
37051,Madill,OK
37052,Mangum,OK
37053,Marietta,OK
37054,McAlester,OK
37055,Miami,OK
37056,Midwest City,OK
37058,Muskogee,OK
37059,Norman,OK
37062,Okeene,OK
37063,Oklahoma City,OK
37064,Okmulgee,OK
37065,Pauls Valley,OK
37066,Pawhuska,OK
37067,Pawnee,OK
37068,Perry,OK
37069,Ponca City,OK
37070,Poteau,OK
37071,Prague,OK
37072,Pryor,OK
37073,Purcell,OK
37074,Sallisaw,OK
37075,Sapulpa,OK
37076,Sayre,OK
37077,Seiling,OK
37079,Shattuck,OK
37080,Shawnee,OK
37081,Stigler,OK
37082,Stillwater,OK
37083,Stroud,OK
37084,Sulphur,OK
37085,Tahlequah,OK
37087,Tishomingo,OK
37088,Tulsa,OK
37089,Vinita,OK
37090,Wagoner,OK
37091,Watonga,OK
37092,Waurika,OK
37093,Weatherford,OK
37094,Wetumka,OK
37096,Wilburton,OK
37097,Woodward,OK
37101,Stilwell,OK
38001,Albany,OR
38002,Ashland,OR
38003,Astoria,OR
38004,Baker,OR
38006,Bend,OR
38007,Burns,OR
38010,Coos Bay,OR
38012,Corvallis,OR
38013,Cottage Grove,OR
38014,Dallas,OR
38015,Enterprise,OR
38016,Eugene,OR
38017,Florence,OR
38019,Gold Beach,OR
38020,Grants Pass,OR
38022,Heppner,OR
38023,Hermiston,OR
38024,Hillsboro,OR
38025,Hood River,OR
38026,John Day,OR
38027,Klamath Falls,OR
38028,La Grande,OR
38029,Lakeview,OR
38030,Lebanon,OR
38031,Lincoln City,OR
38032,Madras,OR
38033,McMinnville,OR
38034,Medford,OR
38037,Newberg,OR
38038,Newport,OR
38040,Ontario,OR
38041,Oregon City,OR
38042,Pendleton,OR
38043,Portland,OR
38044,Prineville,OR
38045,Redmond,OR
38047,Roseburg,OR
38048,Salem,OR
38049,Seaside,OR
38050,Silverton,OR
38051,Springfield,OR
38054,The Dalles,OR
38055,Tillamook/Wheeler,OR
38056,Tualatin,OR
39001,Abington,PA
39002,Aliquippa,PA
39003,Allentown,PA
