PRCCSID,Region,Discharges,MeanLOS,MedianLOS,MeanCharges,MedianCharges,MeanCost,MedianCost,DischargesStdErr,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
173,0,19050,7.6,5.0,56042,33703,15053,9285,645,0.154,1781,461
173,1,4040,7.5,5.0,58525,37091,15060,10060,278,0.291,3230,755
173,2,4590,7.1,5.0,45965,28718,13442,8617,344,0.271,3134,634
173,3,6995,8.0,6.0,50874,31668,14199,8432,424,0.284,2360,946
173,4,3425,7.7,5.0,78365,45225,19171,11846,202,0.375,6423,1131
174,0,92020,7.7,5.0,55960,35010,14441,9715,1396,0.106,958,217
174,1,18225,8.1,5.0,60640,36573,15023,9800,649,0.223,2651,548
174,2,23100,7.5,5.0,41458,30012,12615,9506,781,0.210,1011,265
174,3,36295,7.3,5.0,52612,34104,13245,9035,826,0.121,1265,308
174,4,14400,8.4,5.0,82383,48494,19832,12111,486,0.417,3377,795
175,0,38645,3.1,2.0,66212,51686,17433,14198,1337,0.057,1720,344
175,1,8440,2.8,2.0,60381,46348,15962,12627,630,0.152,3362,821
175,2,7015,3.2,2.0,55858,45966,16575,13809,501,0.111,2382,590
175,3,13690,3.2,2.0,60753,49303,16304,13470,876,0.080,2095,483
175,4,9500,3.1,2.0,88548,68634,21296,17405,610,0.123,4872,782
176,0,9695,26.8,15.0,549133,382447,155228,109063,1063,1.074,24767,6807
176,1,1740,31.8,19.0,691033,484167,158480,111589,409,2.325,51186,13204
176,2,2585,24.1,14.0,497659,378562,146657,110199,537,1.472,33086,8438
176,3,4305,25.5,13.0,488103,349412,147734,101406,771,1.705,34699,11348
176,4,1065,30.6,16.0,692227,453677,201541,131618,285,3.229,83944,21936
177,0,71015,4.3,3.0,36175,25039,9239,6854,6941,0.090,2071,272
177,1,41895,4.5,3.0,41623,29178,9838,7305,5564,0.122,2889,337
177,2,0,3.8,3.0,27073,21555,8214,6417,0,0.194,1303,610
177,3,15025,4.2,3.0,23181,17939,7365,5797,3411,0.143,1653,250
177,4,9175,4.0,3.0,37586,26263,10213,7317,1779,0.301,3762,1001
178,0,39620,4.5,3.0,39112,28016,9810,7453,3070,0.082,1689,269
178,1,15180,4.8,4.0,46675,34273,10468,7990,2108,0.134,3140,458
178,2,5520,4.0,3.0,28547,22084,8363,6456,956,0.141,1550,338
178,3,10700,4.2,3.0,27850,22317,7896,6440,1572,0.136,1656,286
178,4,8220,4.6,3.0,47889,33801,12341,9440,1263,0.183,3086,654
179,0,53935,3.9,3.0,32324,23848,8360,6472,5010,0.061,1519,228
179,1,26110,4.0,3.0,35081,26101,8530,6664,3601,0.075,2472,248
179,2,3075,3.3,2.0,21205,17407,7397,5898,897,0.145,1562,522
179,3,11195,3.9,3.0,23479,19106,6778,5455,2280,0.111,1571,208
179,4,13555,3.8,3.0,37298,27734,9681,7475,2475,0.155,2574,697
180,0,10700,4.2,3.0,36855,24517,9494,6750,1169,0.111,1987,341
180,1,5045,4.3,3.0,38417,28123,9298,7094,746,0.179,2945,358
180,2,635,3.9,3.0,23139,16640,8212,6224,168,0.373,2598,785
180,3,1700,3.7,3.0,18694,15241,6124,4941,387,0.204,1943,264
180,4,3320,4.2,3.0,47663,29720,12069,8128,794,0.190,4392,803
181,0,2310,5.4,4.0,43183,32700,10338,7909,127,0.243,2018,410
181,1,285,6.0,4.0,47804,34040,11512,7597,46,0.941,5755,1420
181,2,465,5.5,4.0,35306,27584,10541,8048,52,0.625,2758,883
181,3,1200,5.5,4.0,40578,31472,9130,7405,92,0.306,2347,382
181,4,360,4.5,3.0,58152,41807,13221,8856,53,0.401,7760,1562
182,0,65,0,0,41515,19985,11357,8178,18,0,11629,2625
182,1,0,0,0,0,0,0,0,0,0,0,0
182,2,0,0,0,0,0,0,0,0,0,0,0
182,3,0,0,0,0,0,0,0,0,0,0,0
182,4,0,0,0,0,0,0,0,0,0,0,0
183,0,0,4.0,3.0,20453,15968,6883,5523,0,0.238,2193,568
183,1,0,4.8,3.0,31617,22330,9331,6628,0,0.579,4696,824
183,2,0,2.9,2.0,11346,8107,6068,4437,0,0.422,1628,1040
183,3,0,3.7,3.0,16685,15080,6289,5521,0,0.073,916,241
183,4,0,4.2,3.0,21826,16153,5709,3824,0,0.693,4767,1597
184,0,8725,3.9,3.0,80653,65249,17575,14435,776,0.126,3312,667
184,1,95,5.2,4.0,60186,52149,0,0,28,1.073,13084,0
184,2,145,3.7,3.0,39405,28262,11303,9608,38,0.419,5341,1395
184,3,205,6.4,3.0,76840,41289,18413,10893,34,1.228,13466,3415
184,4,8280,3.9,3.0,81816,66214,17700,14721,774,0.127,3485,699
185,0,1830,6.3,4.0,41436,26577,11866,7731,174,0.494,3496,1005
185,1,450,5.9,4.0,41705,24646,12002,7586,77,0.680,6806,1864
185,2,225,6.1,4.0,35602,21915,12259,7731,62,1.138,7519,3293
185,3,730,6.3,4.0,29505,21486,9158,6747,110,0.923,3555,1217
185,4,425,6.7,4.0,67003,56324,16621,11701,92,1.077,7879,2195
186,0,210,4.9,3.0,0,0,0,0,33,1.400,0,0
186,1,75,2.7,2.0,21711,15096,6138,5244,20,0.598,6078,1739
186,2,0,0,0,0,0,0,0,0,0,0,0
186,3,0,0,0,0,0,0,0,0,0,0,0
186,4,55,0,0,0,0,0,0,16,0,0,0
187,0,745,5.1,3.0,46440,28922,10886,7804,65,0.532,4832,947
187,1,120,6.8,3.0,49352,33165,12452,7741,27,1.857,10594,2722
187,2,130,4.5,3.0,31307,23748,9707,7738,27,0.988,4295,1380
187,3,300,5.0,3.0,44086,24050,9506,6665,41,0.924,8878,1630
187,4,195,4.7,4.0,58594,42790,12902,10305,34,0.621,9344,1630
188,0,35000,5.2,4.0,87123,59158,20656,14807,2014,0.093,3150,707
188,1,8105,4.6,3.0,73197,49891,16082,11380,1333,0.189,6232,1211
188,2,7600,4.9,4.0,67111,50522,19049,14855,641,0.156,3486,891
188,3,12895,5.4,4.0,78285,59145,18540,14181,1188,0.135,3879,774
188,4,6400,5.8,4.0,153346,100743,34125,24390,676,0.234,9804,1833
189,0,9790,5.3,4.0,86361,56466,19840,13894,383,0.123,5280,909
189,1,1010,6.1,4.0,73195,50288,16920,13359,99,0.464,6084,1022
189,2,1815,5.6,4.0,57050,44203,16180,12388,122,0.248,2768,729
189,3,3895,5.5,4.0,63272,48238,15676,11663,266,0.188,2356,572
189,4,3070,4.8,3.0,144738,103953,29518,21385,227,0.229,14936,2546
190,0,10135,6.0,5.0,73102,54072,17611,13411,320,0.137,1936,405
190,1,2070,6.5,5.0,73165,50792,17291,12436,169,0.345,4456,848
190,2,2005,5.6,5.0,57596,43595,16953,12739,141,0.327,3137,942
190,3,3695,6.4,5.0,67550,48748,16517,12410,171,0.225,2978,679
190,4,2365,5.4,4.0,95539,75829,20299,17171,157,0.236,4462,796
191,0,24450,5.3,4.0,63690,41075,15455,10682,890,0.103,1977,380
191,1,3870,5.1,4.0,57870,40490,13988,9984,353,0.215,3992,754
191,2,5115,5.0,4.0,40481,27693,11957,8832,466,0.282,2363,557
191,3,8540,5.5,4.0,50015,35982,12840,9595,513,0.133,1743,395
191,4,6925,5.4,3.0,104662,72087,22753,16310,432,0.217,4891,929
192,0,5845,5.0,3.0,40821,25092,10790,6846,732,0.335,2950,893
192,1,1440,5.2,4.0,45060,32647,11129,7982,310,0.351,3809,792
192,2,890,5.7,3.0,42184,24796,0,0,253,1.569,9690,0
192,3,2000,5.1,3.0,27040,19806,7742,6026,535,0.445,2209,439
192,4,1515,4.2,3.0,55779,33285,13111,7436,299,0.454,7547,1881
193,0,276830,4.7,4.0,39734,27085,10255,7713,11674,0.042,1085,161
193,1,61220,4.9,4.0,41665,28170,10879,8279,4494,0.083,2043,269
193,2,57190,4.5,4.0,30227,23442,9310,7421,6368,0.077,830,251
193,3,108640,4.9,4.0,35257,25388,9089,6958,7363,0.072,1114,200
193,4,49780,4.5,3.0,58808,39382,13250,9643,4616,0.084,4049,527
194,0,2140,4.7,3.0,50735,36113,11998,8815,271,0.278,4116,801
194,1,420,4.5,3.0,33429,24934,9297,7161,91,0.491,4951,955
194,2,120,3.9,3.0,29246,26254,8537,6734,34,0.528,6349,2243
194,3,355,5.2,3.0,35885,23151,9505,7349,98,0.713,5457,1111
194,4,1245,4.7,4.0,64198,46444,14167,10514,233,0.401,5778,1223
195,0,6425,4.7,3.0,36429,25069,9336,6495,919,0.204,2192,454
195,1,3055,4.7,4.0,36383,28178,8857,6795,617,0.253,2440,396
195,2,0,4.3,3.0,23883,16993,8505,5792,0,0.339,1396,1072
195,3,0,4.9,4.0,23210,17005,7123,5237,0,0.280,2373,705
195,4,1415,4.7,3.0,57856,34417,13403,8142,362,0.652,6777,1706
196,0,12275,4.1,3.0,29770,20965,8159,6036,1456,0.096,1408,328
196,1,4840,4.4,3.0,31874,21519,8995,6406,835,0.157,2358,436
196,2,0,3.8,3.0,22880,17187,7588,5676,0,0.196,1111,545
196,3,2605,4.0,3.0,19713,16043,6064,5037,645,0.189,1198,350
196,4,3440,3.8,3.0,39035,29250,8955,6920,805,0.192,3893,949
197,0,22110,4.7,3.0,36444,24098,9387,6627,2202,0.177,1612,339
197,1,7575,4.9,3.0,33275,22359,9072,6490,1101,0.301,2226,469
197,2,0,4.5,3.0,23272,17707,7433,5509,0,0.267,921,557
197,3,4875,4.8,4.0,23956,17565,7202,5491,1059,0.210,1102,327
197,4,7330,4.6,3.0,54492,36883,12135,8338,1402,0.387,4444,1014
198,0,71145,4.5,3.0,42441,29575,11011,7897,4754,0.078,1792,369
198,1,27090,4.5,3.0,44229,33077,10745,8195,2895,0.120,2342,411
198,2,10180,4.2,3.0,33056,25343,9472,7312,1649,0.165,1873,516
198,3,21440,4.6,3.0,33726,24969,9450,6946,2809,0.154,1742,430
198,4,12435,4.7,3.0,61875,39518,15714,10229,1899,0.185,6557,1280
199,0,34825,4.9,3.0,38145,26238,9877,7142,1954,0.105,1111,224
199,1,8560,5.0,3.0,39577,28465,10258,7799,983,0.189,2076,332
199,2,7620,5.1,4.0,30722,22967,9029,6878,1248,0.236,1283,389
199,3,12580,4.9,3.0,31603,23072,8629,6307,1016,0.193,1181,238
199,4,6065,4.7,3.0,58698,38416,12988,8715,510,0.188,3656,886
200,0,2005,5.9,4.0,31692,23757,8045,6612,376,0.504,2760,381
200,1,0,5.8,5.0,43005,34185,8107,6182,0,0.585,8403,1069
200,2,0,4.7,4.0,24406,18652,7305,6161,0,0.479,2387,493
200,3,955,6.9,5.0,31822,24042,8095,6780,274,0.901,4615,641
200,4,0,4.4,3.0,35948,25622,9554,7128,0,0.333,4584,758
201,0,23240,2.9,2.0,34279,26248,8039,6638,1481,0.049,1639,149
201,1,7675,2.9,2.0,31608,25447,7710,6522,897,0.077,1479,196
201,2,3470,3.0,2.0,27632,22968,8038,6783,680,0.126,1686,335
201,3,5470,2.9,2.0,28159,23004,6953,6026,580,0.099,1166,188
201,4,6625,2.8,2.0,48274,36531,9588,7792,768,0.098,5101,388
202,0,22935,3.7,3.0,25951,18067,7441,5491,4232,0.172,2062,327
202,1,15875,3.7,3.0,28312,20282,7791,5775,3979,0.224,2598,373
202,2,625,3.7,3.0,17633,14451,7849,6207,156,0.269,1689,722
202,3,3945,4.2,3.0,17705,13954,5625,4607,1008,0.416,1138,310
202,4,0,3.3,2.0,26036,15200,7997,5522,0,0.204,4075,1336
203,0,20480,3.3,3.0,27381,18254,6939,5369,4666,0.144,3959,503
203,1,14690,3.4,3.0,29576,21351,7324,5890,4171,0.154,5045,533
203,2,0,2.9,3.0,10070,7774,8549,7725,0,0.388,2280,786
203,3,0,3.6,3.0,22806,15129,6987,5964,0,0.329,6758,821
203,4,0,2.7,2.0,22597,15106,5513,3427,0,0.192,1913,869
204,0,3095,9.0,7.0,97488,62293,24714,16515,284,0.338,5577,1321
204,1,455,9.2,8.0,106758,71583,24151,17322,71,0.839,15473,2832
204,2,735,9.5,7.0,84200,58810,23497,18303,216,0.521,9326,1926
204,3,1275,8.9,7.0,79978,53544,21343,13458,138,0.580,7632,2062
204,4,630,8.6,7.0,144509,95260,33931,23441,99,0.719,15540,3593
205,0,12510,5.1,4.0,35488,23968,10555,7915,2170,0.206,3926,624
205,1,0,5.5,4.0,40460,24943,11622,8449,0,0.572,8782,1380
205,2,3400,4.5,4.0,29503,22113,9402,7197,989,0.210,2910,527
205,3,0,5.5,4.0,28078,20556,9771,7456,0,0.356,3591,1133
205,4,0,4.6,4.0,54896,40316,12852,10381,0,0.239,13911,1515
206,0,0,5.5,3.0,16185,12752,6097,4820,0,0.903,1713,1040
206,1,115,5.2,3.0,32869,26485,10613,8041,28,1.009,6905,2281
206,2,0,0,0,0,0,0,0,0,0,0,0
206,3,0,5.7,4.0,14803,12562,5798,4695,0,1.117,1416,1074
206,4,0,4.5,3.0,37551,23610,9333,7256,0,1.057,9412,2111
207,0,860,6.7,5.0,54037,34983,13700,9711,101,0.481,7242,2053
207,1,315,6.3,6.0,46770,44522,12088,10544,64,0.466,4744,1134
207,2,0,5.2,5.0,32000,29901,10315,9214,0,0.485,4831,1921
207,3,205,6.2,6.0,28628,23923,8399,7597,47,0.394,4092,666
207,4,285,7.9,5.0,91904,54710,21442,13537,57,1.277,21692,6420
208,0,4005,4.2,3.0,36938,26123,8919,7051,403,0.122,2164,358
208,1,1200,4.3,3.0,41192,31023,9295,7092,292,0.241,2636,543
208,2,375,4.3,3.0,25840,20553,8181,7379,96,0.432,2715,536
208,3,1190,4.2,3.0,27777,19562,7168,6005,201,0.204,3237,304
208,4,1240,4.1,3.0,49174,36369,11385,8751,166,0.219,5036,1038
209,0,9740,3.5,3.0,38514,29154,9133,7404,797,0.093,1775,292
209,1,1920,3.9,3.0,36563,28045,9227,7465,344,0.214,2523,510
209,2,765,3.4,2.0,22272,18243,7158,5840,223,0.415,2431,597
209,3,1555,3.4,3.0,23793,18266,6970,6018,218,0.174,1915,351
209,4,5500,3.3,3.0,48736,38127,10363,8240,648,0.123,2557,439
210,0,1215,6.0,4.0,47719,36900,12472,9290,174,0.647,3924,981
210,1,350,6.6,6.0,50382,41453,12939,10387,97,0.751,5762,1601
210,2,0,4.3,4.0,32195,24581,11093,7482,0,0.470,6650,2862
210,3,390,6.8,4.0,47557,36026,11811,8149,106,1.616,5989,1473
210,4,265,5.4,4.0,60569,43790,14565,10910,62,0.488,10902,1978
211,0,27875,7.0,5.0,57786,41282,15746,11844,1376,0.137,1809,537
211,1,7110,7.5,5.0,74379,50906,18895,13641,639,0.256,5546,1549
211,2,7095,6.8,5.0,50607,40408,15058,12014,842,0.332,2594,637
211,3,9825,7.3,5.0,47004,34522,13487,10574,826,0.206,1879,884
211,4,3845,6.2,4.0,68582,48949,17052,13290,306,0.247,4293,897
212,0,8045,9.9,7.0,54698,39219,13967,10268,1635,0.748,5319,1141
212,1,0,10.9,8.0,56515,41610,13640,10482,0,0.876,9489,1017
212,2,560,6.7,5.0,29530,20433,9502,6790,142,0.889,3584,1122
212,3,0,9.9,8.0,35381,27036,10941,8372,0,1.372,4493,872
212,4,3005,9.7,7.0,68018,55522,16764,12895,842,1.454,8386,2704
213,0,129065,11.5,10.0,50360,37148,13406,10221,8443,0.259,1955,404
213,1,40375,12.3,11.0,60190,44153,15841,11754,4878,0.468,3961,990
213,2,24465,11.0,9.0,38677,30833,12169,9759,2861,0.371,1878,547
213,3,49800,11.6,10.0,42491,33061,11247,9071,5631,0.391,2149,446
213,4,14425,9.9,8.0,70243,53832,16219,12602,2756,0.936,6546,793
214,0,29275,4.8,3.0,39938,23702,10400,6822,1009,0.101,1277,277
214,1,6725,5.1,3.0,36160,22455,9526,6745,601,0.231,2070,444
214,2,5500,4.3,3.0,25096,17498,7872,5908,297,0.152,1019,306
214,3,8825,4.9,3.0,30886,19698,8300,5574,525,0.187,1755,363
214,4,8225,4.8,3.0,64252,40788,15392,10022,541,0.203,3229,719
215,0,48105,12.0,10.0,58381,41324,14974,11222,4467,0.437,3317,724
215,1,8060,11.7,9.0,52536,34680,14461,10800,1336,0.627,6467,1541
215,2,8285,10.7,9.0,31980,25029,10155,8003,2264,1.230,2806,991
215,3,9845,10.6,9.0,37424,29465,10644,8688,1911,0.683,2591,522
215,4,21915,13.2,11.0,80877,65336,19104,15064,3064,0.771,4399,1095
216,0,1031810,9.6,6.0,99148,52593,25314,14310,12444,0.083,1498,343
216,1,196275,9.6,6.0,97217,50723,24717,14294,5371,0.164,3770,709
216,2,215200,9.1,5.0,78487,44747,23676,13724,6035,0.207,2101,741
216,3,420520,9.8,6.0,89699,49600,22561,13062,8173,0.135,2017,510
216,4,199815,9.7,5.0,146504,78294,34142,18972,4775,0.172,4794,946
217,0,83940,4.3,3.0,28195,18302,7771,5589,7112,0.132,1224,251
217,1,39095,4.0,3.0,30684,19396,7892,5645,4579,0.180,2055,420
217,2,10960,5.0,3.0,24644,17267,8082,5852,2561,0.538,2466,498
217,3,25595,4.6,3.0,22033,16092,6853,5231,4570,0.166,1033,314
217,4,8290,4.5,3.0,41764,25864,9873,6574,1469,0.331,3828,688
218,0,137725,11.7,7.0,34941,19437,10266,5964,14415,0.538,2637,725
218,1,70540,13.8,9.0,42333,24326,12493,7704,9677,0.505,4055,881
218,2,9900,13.9,10.0,39714,26323,12089,8002,1901,0.936,4030,1322
218,3,31655,9.3,6.0,21337,12762,6678,3562,8436,1.004,2235,1326
218,4,25630,8.0,5.0,29052,17655,7635,4287,6276,0.771,3665,1209
219,0,264735,5.4,4.0,18129,11642,5409,3680,15021,0.168,557,130
219,1,104495,5.9,4.0,19344,11726,6020,4135,12061,0.259,1152,256
219,2,64430,4.8,3.0,15545,10765,4888,3258,5862,0.323,716,229
219,3,65750,4.7,4.0,15342,10865,4265,3175,5778,0.118,741,148
219,4,30060,6.7,4.0,25783,17380,6952,4819,3522,0.833,1586,364
220,0,202385,2.5,2.0,8194,3975,2098,1058,17426,0.045,414,111
220,1,64340,2.7,2.0,10596,6575,2863,1788,11410,0.061,653,171
220,2,5815,3.1,2.0,10507,3709,0,0,1208,0.408,3003,0
220,3,81180,2.5,2.0,5785,2841,1390,697,10509,0.084,543,112
220,4,51050,2.2,2.0,8831,4298,2049,1001,7847,0.066,843,171
221,0,52600,4.7,4.0,29869,19270,8491,5917,1385,0.053,571,128
221,1,13055,4.7,4.0,30228,20677,8917,6574,655,0.087,1152,232
221,2,9720,4.7,3.0,24149,16773,8215,5792,644,0.128,864,291
221,3,19780,4.8,4.0,26994,17701,7263,5147,883,0.094,846,186
221,4,10045,4.7,3.0,42130,25610,10945,7320,542,0.124,1791,343
222,0,660770,5.3,4.0,46196,28793,11626,7956,10061,0.028,726,136
222,1,115655,5.5,4.0,46485,29461,11923,8561,4188,0.067,1748,286
222,2,111425,5.0,4.0,32567,22590,10503,7600,4109,0.069,815,237
222,3,275500,5.4,4.0,38729,25221,9666,6811,6547,0.041,667,121
222,4,158190,5.3,4.0,70800,46920,16039,10909,4893,0.063,2060,413
223,0,104045,11.5,8.0,80282,45155,21749,12830,3392,0.196,2169,533
223,1,23505,10.2,7.0,71632,43540,19103,12159,1539,0.294,3256,751
223,2,21255,11.5,7.0,64991,39252,20358,12150,1551,0.472,3361,1167
223,3,33085,11.5,8.0,63010,36718,17840,10788,1836,0.306,2473,789
223,4,26200,12.8,9.0,127176,74490,31204,19039,1832,0.487,7174,1440
224,0,146845,6.2,4.0,61267,33454,17235,9823,7893,0.098,1959,543
224,1,28900,6.2,4.0,64330,38157,15677,9386,2860,0.184,3875,694
224,2,31525,6.1,4.0,55424,30579,17180,9848,2986,0.209,2858,800
224,3,57360,6.2,4.0,53766,28995,16074,8954,6236,0.166,2614,1045
224,4,29060,6.4,4.0,80362,44440,21375,12067,2512,0.225,6524,1498
225,0,103385,4.2,3.0,38881,23168,9964,6427,1870,0.040,687,130
225,1,19630,4.2,3.0,38942,23552,9861,6721,829,0.092,1959,288
225,2,27535,4.0,3.0,29292,19971,8914,6169,1018,0.068,653,187
225,3,41285,4.3,3.0,37463,22711,9168,5879,1232,0.065,962,193
225,4,14935,4.1,3.0,61115,33561,14419,8485,506,0.117,2563,465
226,0,68310,3.9,3.0,43284,28046,10293,7149,2778,0.080,1427,284
226,1,7950,4.8,3.0,41339,26676,10409,7447,1247,0.224,2716,441
226,2,6110,5.0,4.0,34231,26180,10557,7989,349,0.181,1131,452
226,3,11845,5.6,4.0,39154,26163,10058,7066,974,0.213,1885,425
226,4,42405,3.1,2.0,46178,29914,10300,6865,2256,0.093,2124,433
227,0,119420,4.1,3.0,35592,22988,9405,6488,7460,0.095,1584,389
227,1,37380,4.0,3.0,40072,27158,9918,6837,3496,0.121,2905,848
227,2,28550,3.9,3.0,28576,20363,8627,6391,4748,0.179,2696,657
227,3,34315,4.3,3.0,30982,21682,8501,6149,3752,0.109,1420,341
227,4,19175,4.1,3.0,45694,23232,11226,6708,2608,0.397,5874,1304
228,0,1060305,2.7,2.0,10154,4055,2569,1147,35430,0.029,324,61
228,1,222285,2.9,2.0,11588,6662,2878,1679,13176,0.035,588,93
228,2,142535,2.8,2.0,7174,3638,2192,1117,10197,0.157,366,95
228,3,402130,2.7,2.0,7659,3075,2111,864,23073,0.031,274,76
228,4,293355,2.6,2.0,14379,4799,3216,1189,21104,0.048,977,174
229,0,9410,3.9,2.0,37117,21981,9518,5850,293,0.191,1380,310
229,1,1820,4.1,2.0,34411,19106,8892,5409,122,0.705,3228,660
229,2,1690,4.1,2.0,29552,19448,8710,5875,114,0.347,2113,526
229,3,3320,4.1,2.0,37142,22221,9054,5551,166,0.274,2391,515
229,4,2580,3.5,2.0,44365,26373,11193,6719,175,0.245,2966,712
230,0,0,0,0,0,0,0,0,0,0,0,0
230,2,0,0,0,0,0,0,0,0,0,0,0
230,3,0,0,0,0,0,0,0,0,0,0,0
230,4,0,0,0,0,0,0,0,0,0,0,0
231,0,631880,5.5,3.0,45032,22358,11871,6515,26262,0.071,1224,268
231,1,219640,5.1,3.0,38894,21585,10711,6537,20789,0.117,1906,347
231,2,82105,6.0,3.0,43667,23114,13006,7217,8309,0.259,1747,501
231,3,167950,6.5,4.0,43299,20164,11610,6186,11534,0.171,1749,509
231,4,162185,4.5,3.0,56242,26457,13273,6567,7445,0.105,3118,664
