ParentName,Name,LongTitle,Description,ConsumerLongTitle,ConsumerDescription,CategoryType,TipsChecklist,TopicIcon,TopicFact1Text,TopicFact1Image,TopicFact1Citation,TopicFact2Text,TopicFact2Image,TopicFact2Citation,TopicFact3Text,TopicFact3Image,TopicFact3Citation
SKIP_ROW,Name-xxx,"LongTitle-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx_We use OLE DB driver to import this file.  By default OLE DB uses only the first 8 rows of the .CSV to determine the format of all columns.  So/And if you need a row to have varchar(max) in DB, but none of the 1st 8 rows of the CSV have data for a column > 256 chars, OLE will conclude that the column should default to varchar(256), thus chopping off data for any other rows that do have data for the column > 256 chars.  This row forces OLE to evaluate all columns correctly.",Description-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,ConsumerLongTitle-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,ConsumerDescription-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,CategoryType-xxx,TipsChecklist-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicIcon-xxx,TopicFact1Text-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact1Image-xxx,TopicFact1Citation-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact2Text-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact2Image-xxx,TopicFact2Citation-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact3Text-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact3Image-xxx,TopicFact3Citation-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Health Care Cost and Quality,Heart Surgeries and Procedures,"This table shows information about how well hospitals perform on Heart Surgeries and Procedures for three topics:  (1) hospital quality, shown by how often patients die in the hospital after getting this surgery; (2) hospital cost, shown by the dollars the hospital usually spends on this surgery; and (3) how many surgeries are performed each year.",,"This table shows information about how well hospitals perform on Heart Surgeries and Procedures for three topics:  (1) hospital quality, shown by how often patients die in the hospital after getting this surgery; (2) hospital cost, shown by the dollars the hospital usually spends on this surgery; and (3) how many surgeries are performed each year.",,,,,,,,,,,,,
Health Care Cost and Quality,Hip replacement surgery,"This table shows information about how well hospitals perform on hip replacement surgery for three topics:  (1) hospital quality, shown by how often patients die in the hospital after getting this surgery; (2) hospital cost, shown by the dollars the hospital usually spends on this surgery; and (3) how many surgeries are performed each year.",,"This table shows information about how well hospitals perform on hip replacement surgery for three topics:  (1) hospital quality, shown by how often patients die in the hospital after getting this surgery; (2) hospital cost, shown by the dollars the hospital usually spends on this surgery; and (3) how many surgeries are performed each year.",,,,,,,,,,,,,
Heart surgeries and procedures,,,Ratings about surgeries and procedures related to the heart such as angioplasty and coronary bypass surgery.,,"In heart disease, the arteries that connect to the heart become clogged. The most common heart surgery is coronary artery bypass grafting (CABG). Surgeons use a healthy artery from the body to restore blood supply to the heart. In another procedure called angioplasty, the blocked artery is widened to improve blood flow.",Topic,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartSurgery_Tip1.png'><p>Before leaving the hospital, ask your doctor how to care for your surgical incisions, recognize signs of infection or other problems, and deal with the after-effects of surgery. </p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs/after"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartSurgery_Tip2.png'><p>Ask for information about follow-up appointments, medicines, and situations when you should call your doctor right away.</p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs/after"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartSurgery_Tip3.png'><p>Ask your doctor if cardiac rehab could help improve your health and well-being.
Cardiac rehab includes exercise training, education on heart healthy living, and counseling to reduce stress and help you recover. Your doctor can help you find a nearby cardiac rehab program.
</p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs/after"" target=""_blank""></a> </p></div>",topics/heart-surgeries.png,Surgeries using smaller cuts or newer techniques (such as laparoscopic surgery) may reduce risks and speed up recovery time. ,themes/consumer/assets/infographic/facts-tips/HeartSurgery_Fact1.png,"<a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs"" target=""_blank"">What Is Heart Surgery? - NHLBI, NIH</a>","After heart surgery, you may spend a day or more in the hospital's intensive care unit (ICU). When you leave the ICU, you will be moved to another room until you are ready to go home. Doctors and nurses will closely watch your heart rate, blood pressure, breathing, and incisions.",themes/consumer/assets/infographic/facts-tips/HeartSurgery_Fact2.png," <a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs/after"" target=""_blank"">What To Expect After Heart Surgery - NHLBI, NIH</a>",,,
Patient safety,,,"Ratings about how safe the hospital is for any type of patient.  Many medical complications can be avoided if patients receive the right care in the hospital.<ul><li>Hospital quality ratings for results of surgical and nonsurgical care are provided.  These results can occur in either surgical or nonsurgical cases.</li><li><u>Recommended Care:</u> Information on how many patients got the care they needed such as the right medicine, surgery, or advice.</li><li><u>Results of care:</u> Information on what happened to patients while being cared for in the hospital or after leaving the hospital. </li></ul>",,"Medical errors can occur anywhere in the health care system: in hospitals, clinics, surgery centers, doctors' offices, nursing homes, pharmacies, and patients' homes. Errors can involve medicines, surgery, diagnosis, equipment, or lab reports.",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/PatientSafety_Tip1.png'><p>If possible, choose a hospital where many patients have had the treatment or surgery you need.</p><p class='tip__source'><a href=""http://www.ahrq.gov/patients-consumers/care-planning/errors/20tips/index.html""  target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/PatientSafety_Tip2.png'><p>Ask all health care workers who will touch you if they have washed their hands. Hand washing can prevent the spread of infections in hospitals.</p><p class='tip__source'><a href=""http://www.ahrq.gov/patients-consumers/care-planning/errors/20tips/index.html"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/PatientSafety_Tip3.png'><p>Speak up. Talk to your doctor about your questions or worries and ask what they are doing to protect you.</p><p class='tip__source'><a href=""http://www.cdc.gov/HAI/patientSafety/patient-safety.html"" target=""_blank""></a> </p></div>",topics/patient-safety.png,"Health care in the United States is not as safe as it should be--and can be. At least 44,000 people, and perhaps as many as 98,000 people, die in hospitals each year as a result of medical errors that could have been prevented.",themes/consumer/assets/infographic/facts-tips/PatientSafety_Fact1.png,"<a href=""http://www.cdc.gov/HAI/surveillance/index.html"" target=""_blank"">HAI Data and Statistics</a>",About 1 in 25 hospital patients has an infection that they got while receiving treatment at the hospital.,themes/consumer/assets/infographic/facts-tips/PatientSafety_Fact2.png,,,,
Patient safety,Results of care - Deaths,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Patient safety,Results of care - Complications,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Patient survey results,,,"Ratings from the Hospital Consumer Assessment of Healthcare Providers and Systems (HCAHPS, pronounced 'H-caps').  HCAHPS is a national, standardized survey of hospital patients that asks patients about their experiences during a recent hospital stay.",,"Consumer Assessment of Healthcare Providers and Systems (CAHPS) surveys ask patients to rate their experiences with health care. These surveys cover topics that are important to patients, such as the how well doctors communicate and whether services are easy to use.",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/PatientSurvey_Tip1.png'><p>Ask your doctor questions about your care, like:</p><p>*What is the test for?</p><p>*How many times have you done this procedure?</p><p>*When will I get the results?</p><p>*Why do I need this treatment?</p><p>*Are there any alternatives?</p><p>*What are the possible complications?</p><p>*Which hospital is best for my needs?</p><p>*How do you spell the name of that drug?</p><p>*Are there any side effects?</p><p>*Will this medicine interact with medicines that I'm already taking?</p><p class='tip__source'><a href=""http://www.ahrq.gov/patients-consumers/patient-involvement/ask-your-doctor/index.html"" target=""_blank""></a> </p></div>",topics/patient-survey.png,"Survey results from other patients can help you
*make decisions about health plans and doctors
*start a conversation with a trusted doctor about the report 
*identify things to watch out for when using health care services 
*understand your own care better
*set expectations for what is good care",themes/consumer/assets/infographic/facts-tips/PatientSurvey_Fact1.png,"  <a href=""https://cahps.ahrq.gov/consumer-reporting/talkingquality/create/support/explain.html "" target=""_blank"">Explain How Quality Information Can Be Used | cahps.ahrq.gov</a>",,,,,,
Patient survey results,Communication,"These ratings show how satisfied patients say they are with the way hospital staff communicated with them. Good communication means that hospital staff explained things clearly, listened carefully, and treated patients with courtesy and respect. These ratings are collected from patient surveys.",,"Information about how well patients say hospital staff communicated with them, such as whether staff explained things clearly and listened to them carefully.",,,,,,,,,,,,,
Patient survey results,Environment,"These ratings show how satisfied patients say they are with the physical environment in the hospital. A good physical environment means that patients received help quickly, their pain was well-controlled, and the patient room was clean and quiet. This type of quality rating appears only in the 'Patient survey results' health topic. These ratings are collected from patient surveys.",,"Information about how patients describe the physical environment in the hospital such as whether they received help quickly, their pain was well-controlled, and their rooms were kept clean and quiet.",,,,,,,,,,,,,
Patient survey results,Satisfaction overall,These ratings show how satisfied patients say they are with their recent hospital stay overall. This type of quality rating appears only in the 'Patient survey results' health topic. These ratings are collected from patient surveys.,,Information about how patients rate their recent hospital stay overall and whether they would recommend the hospital to others.,,,,,,,,,,,,,
Avoidable Stays Maps,,,,,,,,,,,,,,,,,
Avoidable Stays Maps,Chronic Lung Conditions,,,,,,,,,,,,,,,,
Avoidable Stays Maps,Summary scores,,,,,,,,,,,,,,,,
Avoidable Stays Maps,Diabetes,,,,,,,,,,,,,,,,
Avoidable Stays Maps,Heart Conditions,,,,,,,,,,,,,,,,
Avoidable Stays Maps,Other Conditions,,,,,,,,,,,,,,,,
Avoidable Stays Maps,Patient Safety,,,,,,,,,,,,,,,,
Avoidable Stays Maps,Procedure Rates,,,,,,,,,,,,,,,,
Child health,,,,,,,,,,,,,,,,,
Child health,Child health,,,,,,,,,,,,,,,,
Childbirth,,,Ratings about care for new mothers and newborns.  It includes information about how often and when C-sections and vaginal births are performed. When both the mother and the newborn do not have injuries after childbirth then good results are achieved. Childbirth practice patterns includes quality ratings on how often and when both C-sections and vaginal births are performed.,,"In general, pregnancy lasts about 40 weeks, or just over 9 months. Mothers and babies are monitored closely during labor. Most women are healthy enough to have a baby through vaginal delivery. If there are problems, the baby may need to be delivered surgically by a Cesarean section (C-section).",Topic,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Childbirth_Tip1.png'><p>To reduce the risk of preterm birth, get prenatal care as soon as you think you are pregnant. Don't smoke, drink alcohol or use illegal drugs if you think you are pregnant. Get medical care if you see warning signs of preterm labor.</p><p class='tip__source'> <a href=""http://www.cdc.gov/reproductivehealth/maternalinfanthealth/pretermbirth.htm"" target=""_blank""> </a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Childbirth_Tip2.png'><p>If you have had a preterm birth before, you should let your doctor know early and discuss interventions that may prevent preterm birth. </p><p class='tip__source'>  <a href=""http://www.cdc.gov/reproductivehealth/maternalinfanthealth/pretermbirth.htm"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Childbirth_Tip3.png'><p>Even if you had a C-section before, do not assume you have to have another. Many women can have vaginal deliveries after having a C-section in the past.</p><p class='tip__source'><a href=""https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000589.htm"" target=""_blank""></a> </p></div>",topics/childbirth.png,"Babies grow and develop all the way through the final few weeks of pregnancy. To make sure babies are as healthy as possible, delivery should not be scheduled before 39 weeks unless there are medical problems.",themes/consumer/assets/infographic/facts-tips/Childbirth_Fact1.png," <a href=""http://www.cdc.gov/reproductivehealth/maternalinfanthealth/pretermbirth.htm"" target=""_blank"">Preterm Birth | Maternal and Infant Health | Reproductive Health | CDC</a>",Preterm birth is the birth of a baby before 37 weeks of pregnancy. Very preterm birth (before 32 weeks) is the most common reason for infant death and a leading cause of long-term health and developmental problems in children.,themes/consumer/assets/infographic/facts-tips/Childbirth_Fact2.png," <a href=""http://www.cdc.gov/reproductivehealth/maternalinfanthealth/pretermbirth.htm"" target=""_blank"">Preterm Birth | Maternal and Infant Health | Reproductive Health | CDC</a>",,,
Childbirth,Practice patterns,Information on the types of care provided in the hospital. This type of quality rating often shows information about the numbers of surgeries or procedures that a hospital performs.,,Information on the types of care provided in the hospital. This type of quality rating often shows information about the numbers of surgeries or procedures that a hospital performs.,,,,,,,,,,,,,
Childbirth,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
COPD-Chronic Obstructive Pulmonary Disease,,,"Ratings about chronic obstructive pulmonary disease, or COPD.  COPD is a lung disease that blocks airflow and makes it hard to breathe",,"COPD (chronic obstructive pulmonary disease) makes it hard for you to breathe. Two types of COPD are chronic bronchitis and emphysema. The main cause of COPD is being exposed to substances that irritate the lungs for long periods of time, including cigarette smoke, air pollution, chemical fumes, or dust.",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/COPD_Tip1.png'><p>You should seek emergency care if you're having any of the following symptoms: you have a hard time catching your breath or talking, your lips or fingernails turn blue or gray, you are not mentally alert, or you have a very fast heartbeat. </p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/copd/signs"" target=""_blank""></a> </p></div>",topics/copd.png,"COPD symptoms may include a cough that produces a lot of mucus, shortness of breath, wheezing, and chest tightness.",themes/consumer/assets/infographic/facts-tips/COPD_Fact1.png,"<a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/copd"" target=""_blank"">What Is COPD? - NHLBI, NIH</a>","COPD is a major cause of disability, and the third leading cause of death in the United States. Millions of people are diagnosed with COPD. Many more may have it and not even know it.",themes/consumer/assets/infographic/facts-tips/COPD_Fact2.png,"<a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/copd "" target=""_blank"">What Is COPD? - NHLBI, NIH</a>",,,
COPD-Chronic Obstructive Pulmonary Disease,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Emergency department (ED),,,Ratings about how quickly patients receive care in the Emergency Department (ED). Reducing the time patients remain in the emergency department can increase the availability of treatment and improve the care that patients receive.,,"People go to the ED for many reasons, but the ED is not always the best place to seek care. Here are some examples of a medical emergency:
<br>*Bleeding that will not stop
<br>*Difficulty breathing or shortness of breath
<br>*Confusion or difficulty waking up
<br>*Chest pain
<br>*Choking
<br>*Coughing up or vomiting blood
<br>*Fainting or loss of consciousness
<br>*Feeling of committing suicide or murder
<br>*Head or spine injury
<br>*Severe or persistent vomiting
<br>*Sudden injury due to an accident
<br>*Sudden, severe pain anywhere in the body
<br>*Sudden dizziness, weakness, or change in vision
<br>*Swallowing something poisonous 
<br>*Upper stomach pain or pressure
",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/EmergencyCare_Tip1.png'><p>If you do not have a regular doctor and you're not sure whether the situation is a true emergency, call 911. Let the call-taker determine whether you need emergency help.</p><p class='tip__source'>  <a href=""http://www.911.gov/whentocall911.html"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/EmergencyCare_TIp2.png'><p>Put these numbers in your phone:</p><p>*An emergency contact</p><p>*Your doctor</p><p>*The closest emergency department</p><p>*Nurse telephone advice line</p><p>*Urgent care clinic or walk-in clinic</p><p class='tip__source'>  <a href=""https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000593.htm"" target=""_blank""></a> </p></div>",topics/emergency-dept.png,"If you are not sure what to do, and you don't have one of the serious conditions listed above, call your doctor. If the office is not open, your phone call may be forwarded to someone. Describe your symptoms to the doctor who answers your call, and find out what you should do. Treatment in an emergency department can cost 2 to 3 times more than the same care in your doctor's office.",themes/consumer/assets/infographic/facts-tips/EmergencyCare_Fact1.png,"<a href=""https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000593.htm"" target=""_blank"">When to use the emergency room - adult: MedlinePlus Medical Encyclopedia</a>","Once you arrive at an emergency room, you will be immediately evaluated. Life- or limb-threatening health problems will be treated first. People with less serious problems may have to wait. ",themes/consumer/assets/infographic/facts-tips/EmergencyCare_Fact2.png,"<a href=""https://www.nlm.nih.gov/medlineplus/ency/article/001927.htm"" target=""_blank"">Recognizing medical emergencies: MedlinePlus Medical Encyclopedia</a>",,,
Emergency department (ED),Waiting Times,Ratings about how quickly patients receive care in the Emergency Department (ED). Reducing the time patients remain in the emergency department can increase the availability of treatment and improve the care that patients receive.,,Ratings about how quickly patients receive care in the Emergency Department (ED). Reducing the time patients remain in the emergency department can increase the availability of treatment and improve the care that patients receive.,,,,,,,,,,,,,
Heart attack and chest pain,,,Ratings about heart attack care. A heart attack (also called an AMI or an acute myocardial infarction) happens when the arteries leading to the heart become blocked and the blood supply is slowed or stops.,,"Most heart attacks happen when a clot stops blood and oxygen from reaching the heart. Heart attack symptoms can be different for men and women. They can include chest pressure, squeezing, or pain; shortness of breath; discomfort in the arms, shoulder, neck, or back; nausea, vomiting, dizziness, lightheadedness, and sweating. If you think you might be having a heart attack,  call 9-1-1.",Topic,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartAttack_Tip1.png'><p>If you think you might be having a heart attack (even if you're not sure), call 9-1-1 immediately. Don't wait!</p><p class='tip__source'>  <a href=""http://www.nhlbi.nih.gov/files/docs/public/heart/heart_attack_fs_en.pdf"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartAttack_Tip2.png'><p>Women should seek medical attention for symptoms like fatigue, shortness of breath, and mild chest pain.</p><p class='tip__source'> <a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hdw/signs"" target=""_blank""></a></p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartAttack_Tip3.png'><p>Talk to your doctor about your risk for a heart attack if you smoke, are overweight, don't exercise regularly, or if you have high blood pressure, high cholesterol, or diabetes.</p><p class='tip__source'> <a href="" http://www.nhlbi.nih.gov/files/docs/public/heart/heart_attack_fs_en.pdf?_sm_au_=iVV3q5tsDJ2vN6Nj"" target=""_blank""></a></p></div>",topics/heart-attack.png,Each year more than a million people in the U.S. have a heart attack. About half of them die.,themes/consumer/assets/infographic/facts-tips/HeartAttack_Fact1.png,"<a href=""https://www.nlm.nih.gov/medlineplus/heartattack.html"" target=""_blank"">Heart Attack: MedlinePlus</a>",The single most important thing you can do to save a life is call 9-1-1 immediately for emergency medical care.,themes/consumer/assets/infographic/facts-tips/HeartAttack_Fact2.png,"<a href=""http://www.nhlbi.nih.gov/files/docs/public/heart/heart_attack_fs_en.pdf"" target=""_blank"">Don't Take a Chance With a Heart Attack: Know the Facts and Act Fast</a>","Not all heart attacks begin with sudden, crushing chest pain. The signs of a heart attack are different for everyone, and can change from attack to attack for one person.",themes/consumer/assets/infographic/facts-tips/HeartAttack_Fact3.png,"<a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/heartattack"" target=""_blank"">What Is a Heart Attack? - NHLBI, NIH</a>"
Heart attack and chest pain,Recommended care - Inpatient,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,,,,,,,,,,,,
Heart attack and chest pain,Recommended care - Outpatient,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,,,,,,,,,,,,
Heart attack and chest pain,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,"<UL> <LI> Before leaving the hospital, ask your doctor how to care for your surgical incisions, recognize signs of infection or other problems, and deal with the after-effects of surgery. </LI> <LI>Ask for information about follow-up appointments, medicines, and situations when you should call your doctor right away.</LI> <LI>Ask your doctor if cardiac rehab could help improve your health and well-being. Cardiac rehab includes exercise training, education on heart healthy living, and counseling to reduce stress and help you recover. Your doctor can help you find a nearby cardiac rehab program.</LI>  </UL>",,,,,,,,,,
