ParentName,Name,LongTitle,Description,ConsumerLongTitle,ConsumerDescription,CategoryType,TipsChecklist,TopicIcon,TopicFact1Text,TopicFact1Image,TopicFact1Citation,TopicFact2Text,TopicFact2Image,TopicFact2Citation,TopicFact3Text,TopicFact3Image,TopicFact3Citation
Heart failure,,,Ratings about care for heart failure.  Heart failure or congestive heart failure is a weakening of the heart's pumping power that prevents the body from getting enough oxygen and nutrients to meet its needs.,,"Heart failure happens when the heart can't pump enough blood through the body. Heart failure does not mean that your heart has stopped or is about to stop working. The weakening of the heart's pumping ability causes blood and fluid to back up into the lungs and build up in the feet, ankles and legs. You may feel tired and short of breath.",Topic,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartFailure_Tip1.png'><p>If you have heart failure, make heart-healthy lifestyle changes like eating healthy, keeping a healthy weight, exercise, and quitting smoking</p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hf/treatment"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartFailure_Tip2.png'><p>Gaining weight due to fluids building up in your body may be a sign that heart failure is getting worse. Talk to your doctor about checking your weight and when to report weight changes.</p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hf/treatment"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartFailure_Tip3.png'><p>Following your treatment plan can lessen your symptoms, make daily activities easier, and reduce the chance that you'll have to go to the hospital.</p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hf/livingwith"" target=""_blank""></a> </p></div>",topics/heart-failure.png,"5 million people in the U.S. have heart failure. The condition causes 300,000 deaths each year.",themes/consumer/assets/infographic/facts-tips/HeartFailure_Fact1.png,"<a href=""http://nihseniorhealth.gov/heartfailure/heartfailuredefined/01.html"" target=""_blank"">NIHSeniorHealth: Heart Failure - What is Heart Failure?</a>",Heart failure is most common in people 65 years and older. It is the number one reason older people go to the hospital.,themes/consumer/assets/infographic/facts-tips/HeartFailure_Fact2.png,"<a href=""http://nihseniorhealth.gov/heartfailure/heartfailuredefined/01.html"" target=""_blank"">NIHSeniorHealth: Heart Failure - What is Heart Failure?</a>",,,
Heart failure,Recommended care,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,,,,,,,,,,,,
Heart failure,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Heart surgeries and procedures,Recommended care,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,,,topics/heart-surgeries.png,,,,,,,,,
Heart surgeries and procedures,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Hip or knee replacement surgery,,,"Ratings about surgery to replace the hip or knee joint in people who have severe, on-going joint pain that makes it difficult to carry on with normal daily activities. Total joint (hip or knee) replacement is a surgery to replace the ends of both bones in a damaged joint to create new joint surfaces.",,"Hip or knee replacement surgery can relieve pain and improve walking for people with severe joint damage. During the operation, damaged cartilage and bone are removed and replaced with new, man-made parts. 
Physical therapy can begin the day after surgery to help strengthen the muscles around the new joint and help you regain motion in the joint.
The most common problem after hip replacement surgery is hip dislocation. Because a man-made hip is smaller than the original joint, the ball can come out of its socket. Both hip and knee surgeries can also cause blood clots and infections.
",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HipReplacement_Tip2.png'><p>To help prevent blood clots from forming, you need to wear special compression socks or take blood thinners.  Take all your medicines the way your doctor told you to.</p><p class='tip__source'><a href=""Based on text in Self-care section: https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000169.htm"" target=""_blank""></a></p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HipReplacement_Tip3.png'><p>The ball of your new hip can come out of its socket if you put it in certain positions. Try to avoid pulling your knees up to your chest, crossing your legs, or bending your hips farther than a right angle.</p><p class='tip__source'> <a href=""http://nihseniorhealth.gov/hipreplacement/possiblecomplications/01.html"" target=""_blank""></a> </p></div>",topics/hip-replacement.png,"According to the CDC, 332,000 total hip replacements are performed in the U.S. each year.",themes/consumer/assets/infographic/facts-tips/HipReplacement_Fact1.png," <a href=""http://www.niams.nih.gov/Health_Info/Hip_Replacement/default.asp#how"" target=""_blank"">Questions and Answers about Hip Replacement</a>","Blood clot warning signs include tenderness; redness and swelling of your calf; or swelling of your thigh, ankle, or foot.",themes/consumer/assets/infographic/facts-tips/HipReplace_Fact2.png," <a href=""http://www.niams.nih.gov/health_info/joint_replacement/"" target=""_blank"">Joint Replacement Surgery: Health Information Basics for You and Your Family</a>",,,
Hip or knee replacement surgery,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Imaging,,,"Ratings about imaging procedures including magnetic resonance imaging (MRI), mammography, and computerized axial tomography (CAT scans).",,"Diagnostic imaging lets doctors look inside your body for clues about a medical condition. Different machines and techniques can create pictures of the inside of your body. The type of imaging your doctor uses depends on your symptoms and the part of your body being examined. They include:
<br>*X-rays
<br>*CT scans
<br>*Nuclear medicine scans
<br>*MRI scans
<br>*Ultrasound
<br>Many imaging tests are painless and easy. Some require you to stay still for a long time inside a machine which can be uncomfortable. Some may expose you to a small amount of radiation. 
During some tests you receive a contrast dye, which makes parts of your body show up better in the image.
",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Imaging_TIp1.png'><p>Tell the medical staff immediately if you experience any reactions to dye used in imaging.</p><p class='tip__source'><a href=""http://www.cancer.gov/about-cancer/diagnosis-staging/ct-scans-fact-sheet"" target=""_blank""></a></p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Imaging_Tip2.png'><p>Magnetic resonance imaging (MRI) uses a large magnet. Before you get a scan, tell your doctor if you:<p>*Are pregnant</p><p>*Have pieces of metal in your body (if you have a shrapnel or bullet injury or if you are a welder)</p><p>*Have metal or electronic devices in your body, such as a pacemaker or artificial joint </p></p><p class='tip__source'><a href=""https://www.nlm.nih.gov/medlineplus/mriscans.html"" target=""_blank""></a></p></div>",topics/imaging.png,"In most cases an MRI scan is not necessary when low back pain first starts unless your doctor recommends it. An MRI scan is needed if the pain last longer than 3 to 6 weeks or if your doctor feels there may be a need for surgery. Because most low back pain goes away on its own, getting an MRI scan too early may create confusion for the patient and the doctor.",themes/consumer/assets/infographic/facts-tips/Imaging_Fact1.png,"<a href=""http://www.niams.nih.gov/Health_Info/Back_Pain/default.asp"" target=""_blank"">Handout on Health Back Pain</a>","In very rare cases, the dye used in CT can cause allergic reactions. Some people experience mild itching or hives (small bumps on the skin). Symptoms of a more serious allergic reaction include shortness of breath and swelling of the throat or other parts of the body.",themes/consumer/assets/infographic/facts-tips/Imaging_Fact2.png,"<a href=""http://www.cancer.gov/about-cancer/diagnosis-staging/ct-scans-fact-sheet"" target=""_blank"">Computed Tomography (CT) Scans and Cancer Fact Sheet - National Cancer Institute</a>",,,
Imaging,Practice patterns,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice.",,,,,,,,,,,,,
Infections acquired in the hospital,,,"Ratings about health care associated infections, or HAIs. Health care-associated infections  are infections that people acquire while they are receiving treatment for another condition in a health care setting. HAIs can be acquired anywhere health care is delivered, including  hospitals, clinics, or nursing homes. HAIs may be caused by a bacteria or virus.",,"Every day, patients get infections in healthcare facilities while they are being treated for something else. Healthcare procedures can leave you exposed to germs that cause healthcare acquired infections. These germs can be spread from patient to patient on unclean hands of healthcare workers or through unclean equipment. Healthcare acquired infections can have devastating emotional, financial, and medical effects, and can even be deadly. Hospitals have policies in place to reduce the changes of patients getting infections. These include making sure staff wash their hands, and giving flu shots to patients who need them.",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Infectionsacquiredinthehospital_Tip1.png'><p>If you have a catheter in your bladder, ask each day if it is necessary.</p><p class='tip__source'> <a href=""http://www.cdc.gov/HAI/patientSafety/patient-safety.html "" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Infectionsacquiredinthehospital_Tip2.png'><p>Ask your doctor how he/she prevents infections where the cut for your surgery will be made. Also ask how you can prepare for surgery to reduce your risk of getting an infection.</p><p class='tip__source'><a href=""http://www.cdc.gov/HAI/patientSafety/patient-safety.html"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Infectionsacquiredinthehospital_Tip3.png'><p>Be sure everyone cleans their hands before touching you.</p><p class='tip__source'><a href=""http://www.cdc.gov/HAI/patientSafety/patient-safety.html  See CDC's generic infographic on this page."" target=""_blank""></a> </p></div>",topics/infections.png,"On any given day, about 1 in 25 hospital patients has at least one infection they got from receiving treatment. ",themes/consumer/assets/infographic/facts-tips/Infectionsacquiredinthehospital_Fact1.png,"<a href=""http://www.cdc.gov/HAI/surveillance/index.html"" target=""_blank"">HAI Data and Statistics</a>","There were an estimated 722,000 healthcare acquired infections in U.S hospitals in 2011. About 75,000 patients with such infections died while in the hospital.",themes/consumer/assets/infographic/facts-tips/Infectionsacquiredinthehospital_Fact2.png,"<a href=""http://www.cdc.gov/HAI/surveillance/index.html"" target=""_blank"">HAI Data and Statistics</a>",,,
Infections acquired in the hospital,Infections resulting from hospital care,"Health care-associated infections  are infections that people acquire while they are receiving treatment for another condition in a health care setting. HAIs can be acquired anywhere health care is delivered, including  hospitals, clinics, or nursing homes. HAIs may be caused by a bacteria or virus. A high number of health care associated infections may mean the hospital is not doing a good job at preventing infections.",,"Health care-associated infections  are infections that people acquire while they are receiving treatment for another condition in a health care setting. HAIs can be acquired anywhere health care is delivered, including  hospitals, clinics, or nursing homes. HAIs may be caused by a bacteria or virus. A high number of health care associated infections may mean the hospital is not doing a good job at preventing infections.",,,,,,,,,,,,,
Surgeries for Specific Health Conditions,,,Ratings about surgeries other than heart surgery such as brain surgery (craniotomy) and hip replacement surgery.Brain surgery (craniotomy) and hip replacement are examples of other surgeries.,,"There are many reasons to have surgery. Some operations can relieve or prevent pain. Others can reduce a symptom of a problem or improve some body function. 
After surgery there can be a risk of complications, including infection, too much bleeding, reaction to anesthesia, or accidental injury. There is almost always some pain with surgery.",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/SurgeriesforSpecificHealthConditions_Tip1.png'><p>No surgery is risk free. It is important to learn about the possible benefits and risks involved in the surgical procedure you are about to have. Research has shown that patients who are informed about their procedure can better work with their doctors to make the right decisions.</p><p class='tip__source'><a href=""http://archive.ahrq.gov/patients-consumers/diagnosis-treatment/surgery/tips/tipsurgery.html"" target=""_blank""> </a> </p></div>",topics/other-surgeries.png,Some operations that once needed large incisions (cuts in the body) can now be done using much smaller cuts. This is called laparoscopic surgery.,themes/consumer/assets/infographic/facts-tips/SurgeriesforSpecificHealthConditions_Fact1.png,"<a href=""https://www.nlm.nih.gov/medlineplus/surgery.html"" target=""_blank"">Surgery: MedlinePlus</a>",,,,,,
Surgeries for Specific Health Conditions,Practice patterns,Information on the types of care provided in the hospital. This type of quality rating often shows information about the numbers of surgeries or procedures that a hospital performs.,,Information on the types of care provided in the hospital. This type of quality rating often shows information about the numbers of surgeries or procedures that a hospital performs.,,,,,,,,,,,,,
Surgeries for Specific Health Conditions,Results of Care – Deaths,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Surgeries for Specific Health Conditions,Recommended care,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,,,,,,,,,,,,
Pneumonia,,,"Ratings about pneumonia care.  Pneumonia is a serious lung infection that can cause difficulty breathing, fever, cough, and fatigue.",,"Pneumonia is an infection in the lungs. You can get pneumonia from bacteria, viruses, and fungi, or by inhaling a liquid or chemical. 
If you are treated in the hospital, you will receive:
*Fluids and antibiotics through an IV
*Oxygen therapy (having to wear an oxygen mask or nasal prongs for extra oxygen)
*Medical treatment for breathing 
If you are treated at home, your doctor may tell you to take antibiotics.",Topic,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Pneumonia_Tip1.png'><p>Get vaccinated. Flu vaccine can help prevent pneumonia caused by the flu virus. Pneumococcal vaccine lowers your chances of getting pneumonia from bacteria.</p><p class='tip__source'><a href=""https://www.nlm.nih.gov/medlineplus/ency/article/000145.htm"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Pneumonia_Tip2.png'><p>Do not miss any antibiotic doses. Take the medicine until it is gone, even when you start to feel better. Do not take cough medicine or cold medicine without talking to your doctor. Coughing helps your body get rid of mucus in your lungs.</p><p class='tip__source'> <a href=""https://www.nlm.nih.gov/medlineplus/ency/article/000145.htm"" target=""_blank""></a></p></div>",topics/pneumonia.png,"If your pneumonia comes from bacteria, you need to take antibiotics immediately. If you have viral pneumonia, you will not receive antibiotics because antibiotics do not kill viruses. You may receive other medicines, such as antivirals.",themes/consumer/assets/infographic/facts-tips/Pneumonia_Fact1.png,"<a href=""https://www.nlm.nih.gov/medlineplus/pneumonia.html"" target=""_blank"">Pneumonia: MedlinePlus</a><a href=""https://www.nlm.nih.gov/medlineplus/ency/article/000145.htm"" target=""_blank"">Pneumonia - adults (community acquired): MedlinePlus Medical Encyclopedia</a>","You are more likely to get pneumonia if you smoke or have other medical conditions, such as diabetes or heart disease. You can lower your risk by taking care of your medical problems, and quitting smoking.",themes/consumer/assets/infographic/facts-tips/Pneumonia_Fact2.png,"<a href=""http://www.cdc.gov/pneumonia/index.html"" target=""_blank"">Pneumonia | Home | CDC</a>",,,
Pneumonia,Recommended care,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice. These ratings are sometimes called process measures.",,,,,,,,,,,,,
Pneumonia,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Stroke,,,"Ratings about stroke care.  A stroke happens when the blood supply to the brain stops. This topic includes carotid endarterectomy surgery, an operation intended to prevent stroke.",,"A stroke is a medical emergency. Strokes happen when blood flow to your brain stops. Within minutes, brain cells begin to die. There are two kinds of stroke: those caused by a blocked blood vessel in the brain, and those caused by bleeding in the brain. 
Someone having a stroke may suddenly feel:
*Numbness or weakness of the face, arm or leg (especially on one side of the body)
*Confusion, trouble speaking or understanding speech
*Trouble seeing in one or both eyes
*Trouble walking, dizziness, loss of balance or coordination
*Severe headache with no known cause
If you have any of these symptoms, you must get to a hospital quickly to begin treatment.",Topic,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Stroke_Tip1.png'><p>Because stroke injures the brain, you may not realize that you are having a stroke. To a bystander, someone having a stroke may just look unaware or confused. Stroke victims have the best chance if someone around them recognizes the symptoms and acts quickly.</p><p class='tip__source'><a href=""https://www.nlm.nih.gov/medlineplus/magazine/issues/spring13/articles/spring13pg4.html"" target=""_blank""></a></p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Stroke_Tip2.png'><p>The key symptoms of stroke are FAST: <p>*Face (weakness or drooping in the face)</p><p>*Arm (weakness or numbness in one or both arms)</p><p>*Speech (slurring or difficulty speaking)</p><p>*Time (every minute counts)</p></p><p class='tip__source'><a href=""http://www.uptodate.com/contents/stroke-symptoms-and-diagnosis-beyond-the-basics"" target=""_blank""></a></p>
</div>",topics/stroke.png,"If you have a stroke caused by a blood clot, you may be given a clot-dissolving, or clot-busting, medication. A doctor will inject the medication into a vein in your arm. This type of medication must be given within 4 hours of first symptoms.",themes/consumer/assets/infographic/facts-tips/Stroke_Fact1.png,"<a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/stroke/treatment"" target=""_blank"">How Is a Stroke Treated? - NHLBI, NIH</a>","If you have a stroke caused by bleeding in the brain, the first step is to find the cause of the bleeding and to stop it, which might require surgery. If high blood pressure is the cause of the bleeding, your doctor may prescribe medicines to lower your blood pressure. This can help prevent further bleeding.",themes/consumer/assets/infographic/facts-tips/Stroke_Fact2.png,"<a href=""https://www.nhlbi.nih.gov/health/health-topics/topics/stroke/treatment"" target=""_blank"">How Is a Stroke Treated? - NHLBI, NIH</a>","Stroke is the fifth leading cause of death in the United States, killing nearly 130,000 Americans each year--that's 1 of every 20 deaths.",themes/consumer/assets/infographic/facts-tips/Stroke_Fact3.png,"<a href=""http://www.cdc.gov/dhdsp/data_statistics/fact_sheets/fs_stroke.htm"" target=""_blank"">Stroke Fact Sheet|Data &amp; Statistics|DHDSP|CDC</a>"
Stroke,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Combined Quality and Safety Ratings,,,Measures that combine more than one measure into one score.Composite measures provide a summary of quality or performance.,,"The Patient Safety Indicators (PSIs) are a set of indicators providing information on potential complications following surgeries, medical procedures, and childbirth. Summary Scores combine measures of hospitals' performance on several of these indicators, such as how often patients die from one of six common conditions, or how often patients have one of 11 common safety problems in the hospital. ",,,topics/SummaryScores.png,,,,,,,,,
Combined Quality and Safety Ratings,Deaths,"Summary score that combines more than one rating related to the number of patients who die in the hospital into one score, including death as a result of medical conditions or major surgeries.",,"Summary score that combines more than one rating related to the number of patients who die in the hospital into one score, including death as a result of medical conditions or major surgeries.",,,,,,,,,,,,,
Combined Quality and Safety Ratings,Patient safety,Summary score that combine more than one rating related to how well the hospital keeps patients safe into one score.,,Summary score that combine more than one rating related to how well the hospital keeps patients safe into one score.,,,,,,,,,,,,,
Surgical patient safety,,,"Many health conditions are treated using surgery. About 3 out of 10 hospital stays involve a surgery. Surgical safety problems are mistakes or complications that happen as a result of what hospital staff (e.g., doctors, nurses, technicians) do and do not do before, during and after surgery.",,"Many health conditions are treated using surgery. About 3 out of 10 hospital stays involve a surgery. Surgical safety problems are mistakes or complications that happen as a result of what hospital staff (e.g., doctors, nurses, technicians) do and do not do before, during and after surgery.",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/SurgicalSafety_Tip1.png'><p>Do your homework. Understand there are ways to keep patients safe during surgery, and these actions should be taken with every patient, for every surgery.</p></div><p class='tip__source'><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/SurgicalSafety_Tip2.png'><p>Talk about your safety. Ask your doctor to use the World Health Organization Safe Surgery Checklist which is proven to reduce the risk of death and complications from surgery.</p><p class='tip__source'> </p></div><p class='tip__source'><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/SurgicalSafety_Tip3.png'><p>Have a team on your side.Bring someone with you to ask questions and listen when you see your doctor or are in the hospital</p><p class='tip__source'> </p></div>",topics/surgical-safety.png,"Each year in the United States about 85,000 patients develop an infection at their surgical site",themes/consumer/assets/infographic/facts-tips/SurgicalSafety_Fact1.png,,"Each year in the United States about 70,000 patients accidentally get cut or have a hole poked in an organ that was not part of the surgery",themes/consumer/assets/infographic/facts-tips/SurgicalSafety_Fact2.png,,,,
Surgical patient safety,Recommended care before surgery,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice before a surgery.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice before a surgery.",,,,,,,,,,,,,
Surgical patient safety,Recommended care after surgery,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice after a surgery.",,"Information on how many patients got the care they needed such as the right medicine, surgery, or advice after a surgery.",,,,,,,,,,,,,
Surgical patient safety,Results of care,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Women health,,,,,,,,,,,,,,,,,
Women health,Women health,,,,,,,,,,,,,,,,
Nursing Home,,,,,,,,,,,,,,,,,
Health Care Cost and Quality,,,Displays the number of treated patients and the average cost to a hospital for a procedure alongside the hospitals quality ratings,,"Health care quality is:
<br>*Doing the right thing (getting the medicines, tests, and help you need),
<br>*Doing it at the right time (when you need them), and
<br>*Doing it the right way (with your doctor using the best methods).
<br>Many things affect the cost of health care. Higher costs do not necessarily mean that a provider is offering higher-quality care. You can find a provider who offers high quality care at an affordable cost. Seeing cost and quality information side by side can help people make an informed choice.",,<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Healthcare_Tip1.png'><p>Use information about cost and quality to decide which hospital will provide high-quality care at a reasonable cost.</p><p class='tip__source'>  <a href='JS'> </a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/Healthcare_Tip2.png'><p>Looking at the costs of care can help you see whether a hospital charges more or less than others in your area. </p><p class='tip__source'>  <a href='JS'> </a> </p></div>,topics/cost-quality.png,"Higher cost health care is not necessarily better care. In fact, higher costs may mean that too many services are being provided, which can increase the risk to you, the patient.",themes/consumer/assets/infographic/facts-tips/Healthcare_Fact1.png,,,,,,,
Medical Practice Ratings,,,,,,,,,,,,,,,,,
Medical Practice Ratings,Adult Surveys,The ratings below are based on information from the Clinician & Group CAHPS Adult Survey (CG-CAHPS) which asks patients 18 years of age or older about their health care experiences.,,The ratings below are based on information from the Clinician & Group CAHPS Adult Survey (CG-CAHPS) which asks patients 18 years of age or older about their health care experiences.,,,,,,,,,,,,,
Medical Practice Ratings,Child Surveys,The ratings below are based on information from the Clinician & Group CAHPS Child Survey (CG-CAHPS) which asks parents or guardians about the health care experiences of children 17 years of age or younger.,,The ratings below are based on information from the Clinician & Group CAHPS Child Survey (CG-CAHPS) which asks parents or guardians about the health care experiences of children 17 years of age or younger.,,,,,,,,,,,,,
